вперёд,forward; in advance,шаг вперёд|a step forward,,
зелёный,green,зелёная книга|a green book,,
нёбо,"sky, heaven",небеса|the heavens,,
встречать/встретить (+a),to meet,Я встречу вас на вокзале; Ты встретишь Новый год с нами?|I shall meet you at the station; Will you see the New Year in with us?,,
отношение (к +d),"attitude, relation (to); (pl) relations",его отношение к вам; англо-русские отношения|his attitude to you; Anglo-Russian relations,,
бабушка,grandmother,много бабушек|many grandmothers,,
детский,children’s,детский сад|kindergarten,,
останавливаться/остановиться,to stop,p: Я остановлюсь перед домом; Он не остановится|I shall stop in front of the house; He will not stop,,
ответ,answer,ответ на вопрос|answer to a question,,
восемь,eight,в восьми школах|in eight schools,,
доска,board,писать на доске|to write on the board,,
появляться/появиться,to appear,Скоро появится его жена|His wife will soon appear,,
неделя,week,восемь недель|eight weeks,,
завод,factory,Он работает на заводе |Не works in a factory,,
форма,form,форма правления|form of government,,
являться (i) (+inst),to be (sth) (formal),Он является директором|He is the director,,
вещь (f),thing,Все его вещи в этом чемодане|All his things are in this suitcase,,
герой,hero,герой войны|war hero,,
кроме (+g),"except, besides",кроме меня; кроме того|except me; moreover/in addition,,
подниматься/подняться,"to rise, climb",Я поднимусь на третий этаж; Они поднимутся на гору|I shall climb to the 3rd floor; They will climb the hill,,
съезд,congress,дворец съездов|palace of congresses,,
точно,exactly; punctually,точно в час|at one o’clock precisely,,
ход,movement,на полном ходу; ход событий|at full speed; course of events,,
равно,"equal, alike (adv)",Всё равно; Не всё ли равно?|It’s all the same; What difference does it make?,,
шаг,step,сделать шаг вперёд|to take a step forward,,
клуб,club,клуб художников|artist’s club,,
крупный,"large, important",крупные промышленные центры|large industrial centres,,
вспоминать/вспомнить (+a or о +pr),"to remember, recall",Ты вспомнишь о ней?|Will you remember her?,,
небольшой,small,Суздаль - город небольшой|Suzdal' is not a large town,,
художественный,artistic,"художественная литература|belles-lettres, fiction (artistic literature)",,
кто-то,someone,Кто-то вошёл|Someone came in,,
нравиться/по- (+d),to please (s. o.),"Она нам нравится|We like her; p: понравлюсь, понравишься",,
школьный,school (adj),школьные годы|school years,,
государство,state,глава государства|head of state,,
американский,American,американская армия|American army,,
строить/по- (+a),to build,Мы строим новую жизнь|We are building a new life,,
восьмой,eighth,на восьмом съезде партии|at the eighth party congress,,
немного (+g),"a little, not much",Денег осталось совсем немного|There is very little money left,,
пауза,pause,сделать паузу|to pause,,
показывать/показать (+a +d),to show (sth to s.o.),Она показывала ему свою квартиру|She was showing him her flat; Я покажу тебе дорогу|I shall show you the way,,
далеко,far,Иван живёт далеко от нас|Ivan lives far from us,,
затем,"after that, then",Они выпили и затем продолжали разговор|They had a drink and then continued their talk,,
здание,building,новые здания|new buildings,,
однажды,"once, one day",однажды вечером|one evening,,
птица,bird,Птицы летят на юг|The birds are flying south.,,
самолёт,aeroplane,на самолёте|by plane,,
семь,seven,семь новых зданий; с семью друзьями|seven new buildings; with seven friends,,
шофёр,driver,шофёр такси|taxi driver,,
двести,two hundred,больше двухсот|more than two hundred,,
известный,well-known,известные учёные|well-known scholars,,
правильно,correctly,Он ответил правильно|He answered correctly,,
решение,decision; solution,принять решение|to take a decision,,
вечером,in the evening,Он приедет вечером|He will come in the evening,,
готовый,ready,Вы готовы?|Are you ready?,,
стараться/по- (+inf),to try,Она старалась открыть дверь|She was trying to open the door,,
например,for example,"Есть хорошие книги, «Война и мир», например|There are good books, “War and Peace”, for example",,
простой,simple,простые люди|ordinary people,,
произведение,a work,произведения Толстого|Tolstoi’s works,,
учить/вы- (+a),to learn (sth),Я учу новые русские слова|I am learning new Russian words,,
учить/на- (+а +d),to teach (s.o. sth),"Он учит её русскому языку|He is teaching her Russian; p научу, научишь",,
иной,other,иными словами; тот или иной|in other words; one or other,,
результат,result,результаты нашей работы|results of our work,,
доктор,doctor,доктора|doctors,,
случаться/случиться,to happen,"Он спросил, что случилось|He asked what happened",,
называть/назвать (+a +inst),"to call, name (s.o. sth)","Никто не называл её красивой|No-one called her beautiful p назову, назовёшь",,
важный,important,важные люди|important people,,
знание,knowledge,знания русского языка|knowledge of Russian,,
улыбаться/улыбнуться (+d),to smile (at),Она не улыбнётся|She will not smile,,
плохо,badly,Он плохо знает английский язык|He doesn’t know English well,,
учиться/на- (+inf),to learn (to do sth),Он научился говорить по-русски|He learned to speak Russian,,
открывать/открыть (+a),to open; to discover,p Я открою дверь; Ты откроешь окно|I shall open the door; You will open the window,,
оставаться/остаться,to stay,i: Она остаётся на ночь; Оставалось пять минут|She is staying the night; There were five minutes left; p: Я останусь здесь|I shall stay here,,
наука,science; scholarship,общественные науки|social sciences,,
камень (m),stone,из камня; много камней|made of stone; many stones,,
против (+g),against; opposite,против войны; против школы|against war; opposite the school,,
развитие,development,общественное развитие|social development,,
бог,God,Боже мой!|My goodness!,,
общество,society,развитие общества|development of society,,
ничего,"nothing; all right, not too bad; never mind",-Как дела? -Ничего; -Простите -Ничего|- How are things? - All right; - I’m sorry - It doesn’t matter,,
условие,condition,хорошие условия|good conditions,,
господин (pl господа),gentleman; Mr,Дамы и господа! Это господин Смит|Ladies and Gentlemen! This is Mr Smith,,
солдат,soldier,много солдат|many soldiers,,
революция,revolution,Октябрьская революция|the October Revolution,,
начинаться/начаться,to begin,Занятия начинаются на следующей неделе|Classes begin next week; Собрание скоро начнётся|The meeting will soon begin,,
область (f),"oblast, province; area, field (of activity)",g pl областей,,
что-то,"something; (coll) somewhat, somehow",g чего-то,,
власть (f),power,g pl властей; власти authorities,,
судьба,fate,"nom pl судьбы, g pl судеб",,
действие,"act, action",,,
мера,measure,принять меры to take measures,,
энергия,energy,,,
ряд,"row, line, series","nom pl ряды; pr в ряду: row, line; pr в ряде: series",,
находиться/найтись,"to be situated; to be found, turn up","i нахожусь, находишься; p: найдусь, найдёшься; past нашёлся, нашлась",,
положение,position,,,
глядеть/по- (на +a),to look (at),"i: гляжу, глядишь; p: погляжу, поглядишь",,
век,"century; age, era",nom pl века; в прошлом веке last century,,
миллион,million,,,
общественный,"social, public",общественное мнение public opinion,,
основной,"basic, fundamental",,,
генерал,general (noun),,,
интерес,interest,интерес к языкам interest in languages,,
легко,easily; it is easy,,,
материал,material,,,
цель (f),"target, purpose",с целью +g with the object of,,
огонь (m),fire; light,g sg огня; nom pl. огни,,
закон,law,,,
природа,nature,закон природы law of nature,,
масса,mass,трудящиеся массы the working masses,,
бой,battle,"pr sg бою, nom pl бой, g pl боёв",,
политический,political,,,
луч,"ray, beam","g sg луча, nom pl лучи, g pl лучей",,
волна,wave,"nom pl волны, g pl волн, d pl волнам",,
процесс,"process; trial, lawsuit",,,
научный,"scientific, scholarly",,,
различный,"different, various",,,
мировой,world (adj),,,
система,system,,,
лист,leaf (of plant); sheet (of paper),"(nom pl листья, g pl листьев) leaf (of plant); (nom pl листы, g pl листов) sheet (of paper); g sg листа",,
хоть,"even if, if only, even, although",Заходи хоть на минуту Drop in if only for a moment,,
ребёнок,child,"g sg ребёнка; nom pl дети, g pl детей",,
связь (f),"connection, link, communication",отделение связи post office; в связи с +inst in connection with; торговые связи trade links,,
вообще,in general,,,
верить/по-,"to believe (+d) s.o. or sth, (в +a ) in s.o. or sth","i: верю, веришь",,
мужчина (m),man,двое мужчин two men,,
что-нибудь,anything,g чего-нибудь,,
представлять/представить (+a),"to present, introduce","p: представлю, представишь; представить себе to imagine",,
искать/по- (+a or +g),"to search for, to look for","i: ищу, ищешь",,
писатель (m),writer,,,
промышленность (f),industry,,,
учёный (m) (adj),"learned, scholarly; (as noun) scholar, scientist",,,
верно,"faithfully, truly; it is true",,,
служить/по-,to serve,"i служу, служишь/p послужу, послужишь; послужить примером to serve as an example",,
правительство,government,,,
экономический,economic,,,
есть/съ- (+a),to eat,"i: ем, ешь, ест, едим, едите, едят, past ел, ела; p съем, съешь, съест, съедим, съедите, съедят, past съел, съела",,
рабочий (m) (adj),(blue collar) worker; working,жизнь рабочего life of a worker; рабочий класс working class,,
современный,"modern, contemporary",,,
работник,"worker, s.o. who works",партийные работники party workers,,
чёрт,devil,"g sg чёрта, nom pl черти, g pl чертей",,
качество,quality,,,
международный,international,,,
офицер,officer,,,
проблема,problem,,,
требовать/по- (+g),to demand,"i: требую, требуешь; p потребую",,
коммунизм,communism,,,
корабль (m),ship,g sg корабля,,
класс,class; classroom,рабочий класс working class,,
километр,kilometre,,,
число,number; date,"nom pl числа, g pl чисел",,
база,base; depot,на базе +g on the basis of,,
палец,finger; toe,g sg пальца,,
количество,quantity,,,
коммунист,communist,,,
победа,victory,,,
река,river,"a sg реку, g sg реки, nom pl реки, d pl рекам",,
пить/вы- (+a or +g),"to drink, have an alcoholic drink","выпивать i/пить i; i: пью, пьёшь, past пил, пила, пило; p: выпью, выпьешь",,
человеческий,human (adj),,,
гора,"mountain, hill","a sg гору, g sg горы, nom pl горы, g pl гор, d pl горам; в гору uphill",,
милый,"nice, dear",,,
политика (no pl),"politics; policy, policies",,,
производство,production,производство машин car production,,
национальный,national; ethnic,национальное меньшинство ethnic minority,,
холодный,cold,,,
государственный,state (adj),,,
откуда,from where,Откуда он знает? How does he know?,,
сложный,"complicated, complex",,,
богатый,rich,,,
бросать/бросить (+a),"to throw; abandon, give up","p: брошу, бросишь",,
строительство,construction,,,
значение,"meaning, importance",,,
председатель (m),chairman,,,
характер,character,,,
необходимый,essential,,,
смеяться/за-/рас- (над +inst),to laugh (at),"i: смеюсь, смеёшься",,
бороться (i) (с +inst),to struggle (against),"i: борюсь, борешься; за +a for",,
изделие,(manufactured) article,,,
особый,special,,,
смерть (f),death,"nom pl смерти, g pl смертей",,
статья,"article (newspaper, journal)",g pl статей,,
счёт,"bill, account; count, score",nom pl счета; счёты abacus,,
весьма,"very, extremely",,,
сельский,"rural, country",сельское хозяйство agriculture,,
средство,means; (pl) resources,транспортные средства means of transport,,
подобный,similar,,,
пример,example,,,
революционный,revolutionary,,,
скорость (f),speed,"nom pl скорости, g pl скоростей",,
факт,fact,,,
малый,small,,,
чай,tea,"nom pl чай, g pl чаёв",,
тёмный,dark,,,
явление,phenomenon,,,
состоять (i) (из +g),to consist (of),состоит,,
ясно,clearly; it is clear,,,
точка,"dot, point; full stop",g pl точек; точка зрения point of view,,
стоить (i),"to cost, to be worth",стоит; Сколько это стоит? How much is this?,,
ум,"mind, intellect",g sg ума,,
вполне,"fully, entirely",,,
событие,event,,,
существовать (i),to exist,"существую, существуешь",,
кабинет,"study, office",,,
спасибо,thank you,,,
враг,enemy,g sg врага,,
глубокий,deep,,,
французский,French (adj),,,
близкий,"close, near",,,
ах,"ah!, oh!",,,
деятельность (f),activity,no pl,,
приводить/привести (+a),to bring (s.o.); (к +d) lead to,"i: привожу, приводишь; p: приведу, приведёшь, past привёл, привела",,
трубка,"tube, pipe; telephone receiver",g pl трубок,,
английский,English; British (adj),,,
сей ,this (=этот) (bookish; used in set phrases),"f сня, n сие, nom pl сии; сего месяца of this month; до сих пор up till now",,
температура,temperature,,,
состояние,"state, condition; fortune",,,
счастье,"happiness, luck",,,
смысл,"sense, meaning",,,
рубль (m),rouble,g sg рубля,,
вчера,yesterday,,,
правый,right; right-wing,прав -а -о -ы (short forms) Она права She’s right,,
автор,author,,,
большинство,majority,,,
известно,it is (well) known,,,
мелкий,"small, petty, fine",,,
течение,"flow, current; course","в течение +g during, in the course of",,
оружие,"arms, weapons",no pl,,
муж,husband,"nom pl мужья, g pl мужей, d pl мужьям",,
происходить/произойти,to happen; to originate,"i: происхожу, происходишь; p: произойдёт, past произошло",,
свободный,free,,,
идея,idea,,,
усилие,effort,приложить все усилия to make every effort,,
линия,line,,,
искусство,art,,,
состав,"composition, make-up",,,
капитализм,capitalism,,,
литература,literature,,,
страница,page,,,
бить/по- (+a),"to beat, hit","i: бью, бьёшь, p: бить/побить; побью, побьёшь",,
иначе,otherwise,,,
читатель (m),reader,,,
наиболее,(the) most,,,
рост,"growth, increase; height",,,
американец,American (noun),g sg американца,,
корень (m),root,"g sg корня, nom pl корни, g pl корней",,
немец,German (noun),g sg немца,,
небо,serious,,,
свойство,"characteristic, property",,,
взглядывать/взглянуть (на +a),"to look, glance (at)","p: взгляну, взглянешь",,
высоко,high (up); highly; it is high,,,
население,population,,,
стекло,glass (material),"nom pl стёкла, g pl стёкол, d pl стёклам; двойные стёкла double glazing",,
театр,theatre,,,
надежда,hope,,,
довольно,"fairly, rather; contentedly; (+g) enough",,,
край,"edge; region, area","pr sg в краю, nom pl края, g pl краёв",,
мужик,(Russian) peasant,g sg мужика,,
степь (f),steppe,"pr sg о степи, в степи; nom pl степи, g pl степей",,
цвет,colour; blossom; prime,nom pl цвета; в цвету in blossom,,
дед,grandfather,,,
основа,"base, foundation",,,
рано,early; it is early,,,
технический,technical; engineering,,,
счастливый,"happy, lucky","short forms счастлив, счастлива",,
круг,circle,"pr sg в кругу, nom pl круги",,
момент,moment; feature (of a situation),важные моменты ситуации important features of the situation,,
необходимо,it is essential; it is necessary,,,
строй,"system, structure; military formation",pr sg в строю,,
дочь (f),daughter,"g, d, pr sg дочери, inst sg дочерью, nom pl дочери, g pl дочерей, d pl дочерям, inst pl дочерьми, pr pl дочерях",,
использовать (i/p) (+a),to make use of,использую,,
министр,minister (government),,,
синий,dark blue,,,
передавать/передать (+a),"to pass, hand over; transmit, convey","i: передаю, передаёшь; p: передам -дашь -даст -дадим -дадите -дадут, f past передала",,
программа,programme,,,
десяток,ten; a decade,g sg десятка,,
кровь (f),blood,"pr sg о крови, в крови; g pl кровей",,
отдавать/отдать (+a),to give back; to give away; to return,"i: отдаю, отдаёшь; p: отдам, отдашь, отдаст, отдадим, отдадите, отдадут; f past отдала",,
отдельный,"separate, individual",,,
свобода,freedom,,,
хватать/хватить (+g),"(3rd pers +g) to be enough, suffice",i: Времени не хватает There isn’t enough time; p: хватит; Времени хватит There will be enough time,,
внутренний,"inner, interior, internal",,,
выступать/выступить,to appear in public; protrude; to speak (publicly),"выступать с речью to make a speech; p: выступлю, выступишь",,
как-то,"somehow; (coll) once, at one time",,,
занимать/занять (+a),to occupy,"p: займу, займёшь, past занял, заняла, заняло",,
представитель (m),representative,,,
фронт,front (war),"nom pl фронты, g pl фронтов",,
богатство,"wealth, riches",,,
желать/по- (+g),"to want, wish (for)",,,
какой-нибудь,any; any kind of,,,
глубина,depth,nom pl глубины,,
мимо (+g),past,пройти мимо дома to walk past the house,,
управление,management; administration; control,,,
слава,"glory, fame",,,
сотня,a hundred,g pl сотен,,
страшный,"terrible, dreadful",,,
тем,(by) so much,inst of тот; тем лучше so much the better,,
весна,spring (season),"nom pl вёсны, g pl вёсен, d pl вёснам",,
действовать/по-,"to act, function, affect","i: действую, действуешь",,
пол,floor; sex,"(pr sg на полу, nom pl полы) floor; (nom pl полы, g pl полов) sex",,
процент,"percent, percentage",пять процентов 5 per cent; проценты interest,,
родина,"homeland, native land",на родине in one’s homeland,,
сцена,stage (theatre); scene,,,
значительный,significant,,,
метр,metre (measurement),,,
чужой,someone else’s; foreign,,,
воля,"will; freedom, liberty",,,
зуб,tooth,"nom pl зубы, g pl зубов",,
менее,less,тем не менее none the less,,
метод,method,,,
прощать/простить (+a),"to forgive (s.o. or sth), pardon","p: прощу, простишь; Простате! Excuse mе",,
связывать/связать (+a),"to tie; to connect, bind","i вязать or связывать; p свяжу, свяжешь",,
яркий,bright,,,
песок,sand,g sg песка,,
уровень (m),level; standard,g sg уровня,,
исторический,historical; historic,,,
источник,source,,,
половина,half,,,
служба,service,,,
ладно,harmoniously; all right (unenthusiastic agreement),"Ладно, пусть будет по-твоему All right, have it your own way",,
мешать/по- (+d),"to disturb, hinder, prevent; (+a) stir",,,
село,village,nom pl сёла; на селе in the country,,
впрочем,"however, but; or rather",,,
горячий,hot,,,
образование,education; formation,,,
тонна,"ton (1,000 kilogrammes)",,,
вызывать/вызвать (+a),to summon; cause,"p: вызову, вызовешь",,
зрение,"eyesight, vision",,,
морской,"sea, marine; naval",,,
остальной,the rest (of),Где остальные? Where are the others?,,
семя (n),seed,"g sg семени, nom pl семена, g pl семян, d pl семенам",,
сильно,strongly; very much,,,
тонкий,"thin, slender; fine, subtle",,,
флот,fleet,,,
беседа,"talk, discussion",,,
данный,given,данные data,,
достаточно,sufficiently; (+g) enough,,,
единственный,"only, sole",,,
лампа,lamp,,,
продукция,"production, output",,,
центр,centre,,,
вовсе,at all,вовсе не not at all,,
западный,western,,,
корреспондент,correspondent,,,
пожалуй,very probably,,,
приём,"reception; method, device",часы приёма consulting hours,,
прочий,other,и прочее (abbr и пр. or и проч.) etcetera; между прочим by the way,,
страшно,terribly; it is terrible,,,
возле (+g),"by, near",,,
вон,"out, away; over there",Вон отсюда! Get out! вон там over there,,
партийный,party (adj),партийное руководство party leadership,,
телефон,telephone,,,
удаваться/удаться (+d),to succeed,"i: удаётся; Ему всё удаётся He’s successful at everything; p: удастся, past удалось; Ей удалось найти место She managed to find a seat",,
быстрый,"quick, fast",,,
крестьянин,peasant,"nom pl крестьяне, g pl крестьян, d pl крестьянам",,
выход,"exit, way out",,,
пытаться/по- (+inf),to attempt,,,
стих,line of poetry,"g sg стиха; стихи verses, poetry",,
период,period,,,
убивать/убить (+a),to kill; to murder,"p: убью, убьёшь",,
дружба,friendship,,,
едва,"hardly, scarcely, only just","едва (ли) не nearly, almost",,
неужели,really? is it possible?,Неужели он не знает? Does he really not know?,,
степень (f),"degree, extent",g pl степеней,,
боевой,"fighting, battle",,,
"войска (n, pl)","troops, army",sg войско,,
карта,"map, card",,,
направление,direction,,,
человечество,mankind,,,
вроде (+g),"like, such as",что-то вроде песка something like sand,,
громадный,enormous,,,
лёгкий,"light, easy",,,
пользоваться/вос- (+inst),"to use, make use of","i: пользуюсь, пользуешься; p воспользуюсь",,
предложение,"offer, suggestion; sentence (grammar)",,,
элемент,element,,,
являться/явиться,to appear,"p: явлюсь, явишься",,
вероятно,probably,,,
печь/ис- (+a),to bake,"i: пеку, печёшь, пекут; past пёк, пекла",,
печь (f),stove,"pr sg о печи, в печи; g pl печей",,
казаться/по-,"to seem, to appear, to show oneself","i: казаться or показываться; Кажется, всё хорошо|It seems all is fine; покажусь, покажешься",,
умный,intelligent,,,
глава,"head, chief; chapter",nom pl главы,,
плакать/за-,"to cry, weep, p: to begin to cry","i: плачу, плачешь; p заплачу, заплачешь",,
сквозь (+a),through,,,
способ,"way, method",,,
способный,"able, capable",,,
церковь (f),church,"g sg церкви, inst sg церковью, nom pl церкви, g pl церквей, d pl церквам",,
"часы (m, pl)","watch, clock",g pl часов,,
честь (f),honour,"pr sg о чести, в чести, g pl честей",,
открытый,open (adj),,,
память (f),memory,no pl,,
понятно,understandably; I see! I understand!,,,
совещание,"meeting, conference",на совещании at a meeting,,
замечательный,"remarkable, splendid",,,
знаменитый,famous,,,
предмет,"object, article; subject, topic",,,
слеза,tear,"nom pl слёзы, g pl слёз, d pl слезам; слёзы радости tears of joy",,
где-то,somewhere,,,
дно,"bottom (of sea, river, well, vessel)","nom pl донья, g pl доньев; на дне моря at the bottom of the sea",,
магазин,"shop, store",,,
вещество́,"substance, matter",,,
создание,creation; creature,,,
старуха,old woman,,,
карман,pocket,,,
музей,museum,,,
падать/пасть,to fall,"пасть: паду, падёшь; past пал, пала/упасть: упаду, упадёшь; past упал упала",,
ясный,clear,,,
поверхность (f),surface,,,
близко,"it is near, it is not far; near, close; closely",,,
заявлять/заявить (о +pr),to announce,"i заявляю, заявляешь; p: заявлю, заявишь",,
золотой,"gold, golden",,,
колено,knee,"nom pl колени, g pl коленей; колен in set phrases: встать с колен to get up from one’s knees",,
равный,equal (adj),,,
следующий,"following, next",,,
снимать/снять (+a),to take off; photograph; rent,"p: сниму, снимешь, f past сняла",,
страх,fear,,,
тёплый,warm,,,
высота,height,nom pl высоты,,
музыка,music,,,
остров,island,nom pl острова,,
относиться/отнестись (к +d),"to relate to; to regard, treat","i: отношусь, относишься; p отнесусь, отнесёшься, past отнёсся, отнеслась",,
переставать/перестать (+inf),"to cease, stop","i перестаю, перестаёшь; p перестану, перестанешь",,
столь,so,столь важно so important,,
мирный,"peace, peaceful",мирный договор peace treaty,,
трудный,difficult,,,
долгий,long (in time),,,
железный,iron (adj),,,
прямой,"straight, direct",,,
социальный,social,социальное положение social status,,
волос,(a) hair,"nom pl волосы, g pl волос, d pl волосам",,
воспитание,upbringing,,,
дитя (n),child,"g, d, pr sg дитяти; inst дитятею; nom pl дети, g pl детей, d pl детям, inst pl детьми, pr pl детях",,
покупать/купить (+a),to buy,"p: куплю, купишь",,
луна,moon,nom pl луны,,
пускать/пустить (+a),to allow; let in; let go,"p: пущу, пустишь",,
вместо (+g),instead of,,,
несмотря (на +a),in spite of,,,
кулак,fist; kulak (rich peasant),g sg кулака,,
кухня,kitchen,g pl кухонь,,
любовь (f),love,"g sg любви; inst sg любовью, d sg/pr sg любви",,
рисунок,drawing,g sg рисунка,,
слой,"layer, stratum","nom pl слой, g pl слоев",,
тема,"subject, topic, theme",,,
цена,price,"a sg цену, nom pl цены, g pl цен, d pl ценам",,
конь (m),horse,"g sg коня, nom pl кони, g pl коней",,
материальный,material (adj),,,
теория,theory,,,
баба,"peasant woman; (coll) old woman, woman",,,
терять/по- (+a),to lose,"i: теряю, теряешь; p: потеряю, потеряешь",,
прекрасный,"beautiful, fine",,,
род,"family, kin; birth, origin; sort, kind; gender",pr sg в роду; nom pl роды; роды childbirth,,
голубой,light blue,,,
господь (m),"God, the Lord",g sg господа; Господи! Oh Lord! Good Heavens!,,
губа,lip,"nom pl губы, g pl губ, d pl губам",,
посылать/послать (+a),to send,"p: пошлю, пошлёшь",,
руководитель (m),"leader, manager; instructor, supervisor",,,
специальный,special,,,
тётя,aunt,g pl тётей,,
центральный,central,,,
всего,"in all, altogether; only",,,
вывод,"conclusion, deduction",сделать вывод to draw a conclusion,,
выполнять/выполнить (+a),"to carry out, fulfil","i: выполняю, выполняешь",,
зерно,"grain, seed","nom pl зёрна, g pl зёрен, d pl зёрнам; кофе в зёрнах coffee beans",,
молодёжь (f),young people,,,
эх,"eh! oh! (expressing regret, annoyance, reproach, amazement)",,,
возможно,possibly; possible; it is possible,,,
глубоко,"deep; deeply, it is deep",,,
добиваться/добиться (+g),"to obtain, achieve; to strive for; to get","p: добьюсь, добьёшься",,
местный,local,,,
растение,plant,,,
старик,old man,g sg старика,,
поход,"campaign; walking tour, expedition; cruise",,,
спина,back [noun],"a sg спину, nom pl спины",,
судить (i/p) (о +pr),to judge; (+a) try (s.o.),"сужу, судишь; судя по +d judging by",,
умирать/умереть,to die,"p: умру, умрёшь, past умер, умерла, умерло",,
экономика,economics; economy,,,
больной,"ill; sore; (as noun) patient, invalid",,,
дух,spirit; breath,,,
ниже,"lower, below",,,
океан,ocean,,,
запас,"stock, supply; reserve",большой запас слов a large vocabulary,,
земной,"earthly, terrestrial",земной шар the globe,,
министерство,ministry (government),,,
обязательно,"without fail, definitely",,,
польза,use; benefit,,,
предлагать/предложить (+a +d),"to offer, propose (sth to s.o.)","p: предложу, предложишь",,
создавать/создать (+a),to create,"i: создаю, создаёшь; p: -ам -ашь -аст -адим -адите -адут",,
вновь,"anew, again; newly",,,
зависеть (i) (от +g),to depend (on),"завишу, зависишь",,
плод,fruit,g sg плода; приносить плоды to bear fruit,,
радио (n) (indecl),radio,,,
разнообразный,"various, varied",,,
существование,existence,,,
бывший,former,,,
касаться/коснуться (+g),to touch; to concern,"что касается +g as for, with regard to",,
никак,in no way; by no means,,,
основание,"foundation, basis; founding",,,
приказывать/приказать (+d),"to order, command s.o.","p: прикажу, прикажешь",,
родной,"native; own; (as noun, in pl) relatives, relations","родной язык native language, mother tongue; ваши родные your relatives",,
солнечный,"sun, solar; sunny",,,
стремиться (i) (к +d),to strive (for),"i: стремлюсь, стремишься",,
газ,gas,,,
орудие,"instrument; implement; (field) gun, piece of ordnance",,,
радость (f),joy,,,
том,volume (book),nom pl тома,,
честный,honest,,,
исследование,investigation; research,,,
ладонь (f),palm (of the hand),,,
определённый,definite; certain,,,
позиция,position,,,
ради (+g),for the sake of,ради Бога for God’s sake,,
срок,"period (of time); (last) date, deadline",,,
слышать/у- (+a),to hear,"Вы меня слышите?|Can you hear me?; p: услышу, услышишь",,
ухо,ear,"nom pl уши, g pl ушей",,
шум,"noise, din",,,
аппарат,apparatus,,,
гораздо,much (with comparatives),гораздо лучше much better,,
капитал,capital (financial),,,
плохой,bad,,,
площадь (f),square; area,g pl площадей,,
поезд,train,nom pl поезда,,
профессор,professor,nom pl профессора,,
серьёзно,seriously,,,
соль (f),salt,g pl солей,,
сон,sleep; dream,g sg сна,,
тень (f),shade; shadow,"pr sg в тени, g pl теней",,
гражданин,citizen,"nom pl граждане, g pl граждан",,
доставать/достать (+a),"to get, obtain; take out; reach","i достаю, достаёшь; p: достану, достанешь",,
дурак,fool,g sg дурака,,
ибо,for (because),,,
лошадь (f),horse,"g pl лошадей, inst pl лошадьми, pr pl лошадях",,
пшеница,wheat,,,
столько (+g),"so much, so many",,,
эпоха,"epoch, age",,,
давай(те),let’s (do sth), (+1st person pl р or i inf) Давайте выпьем Let’s have a drink,,
беда,misfortune,"pl беды ; беда в том, что ... the trouble is that...",,
дальний,"distant, remote",,,
закрывать/закрыть (+a),"to close, shut; to cover","p: закрою, закроешь",,
звезда,star,"nom pl звёзды, g pl звёзд",,
обычный,usual,,,
проводить/провести (+a),"to lead, conduct; spend (time)","i: провожу, проводишь; p: проведу, проведёшь, past провёл, провела",,
разговаривать (i),"to converse, talk",,,
размер,"size, scale, extent","размеры proportions, dimensions",,
разрешать/разрешить (+d of person) ,"to allow, permit; solve","p: разрешу, разрешишь",,
нечего,there is nothing,d нечему; inst нечем; pr не о чем; Нечего делать There is nothing to do,,
атмосфера,atmosphere,,,
лодка,"boat, rowing boat",g pl лодок,,
название,name; title (book),,,
правильный,"correct, right",,,
пустой,empty,,,
сапог,boot; jackboot,g sg сапога; g pl сапог,,
скорее,quicker; rather,скорее всего most probably,,
дальнейший,further,в дальнейшем henceforth,,
журнал,"magazine, periodical; journal, register",,,
либо,or,"либо ..., либо either..., or",,
телевизор,television (set),смотреть телевизор to watch television,,
ракета,rocket,,,
способность (f),ability,,,
академия,academy,,,
впечатление,impression,,,
древний,ancient,,,
иметься (i),"to be, be available","(3rd pers only) имеется, имеются",,
ожидать (i) (+a or +g),to wait (for); to expect,no p,,
пароход,steamer,,,
разоружение,disarmament,,,
след,"footprint; trace, vestige",nom pl следы,,
удар,"blow, strike",,,
внешний,exterior,внешняя политика foreign policy,,
нож,knife,g sg ножа,,
грудь (f),breast,"pr sg о груди в груди, g pl грудей",,
крайний,extreme,,,
моряк,sailor,g sg моряка,,
наоборот,"on the contrary, vice versa, the other way round",,,
передовой,advanced; progressive,передовая статья leading article,,
принцип,principle,,,
тайна,"secret, mystery",,,
тихий,"quiet, calm",,,
устанавливать/установить (+a),"to set up, establish","p: установлю, установишь",,
электрический,electric,,,
верный,"faithful, correct, reliable, sure",,,
ворота (nom pl),"gate, gates",g pl ворот,,
дворец,palace,g sg дворца,,
золото,gold,,,
открытие,opening; discovery,,,
отсюда,from here; hence,,,
специалист,specialist,,,
длина,length,длиной в два метра two metres long,,
наблюдать (i) (+a),"to observe, watch",за +inst to watch over,,
немедленно,"immediately, forthwith",,,
немецкий,German (adj),,,
повышение,"rise, increase; promotion",,,
получаться/получиться,"to turn out, work out, result",p: получится,,
соглашаться/согласиться,"to agree (c +inst) with, (на +a) to","p: соглашусь, согласишься",,
участие,participation; sympathy,принимать участие в +pr to take part in,,
весело,"merrily, cheerfully",Нам было весело We enjoyed ourselves,,
левый,left; left-wing,,,
московский,Moscow (adj),,,
постоянный,"constant, permanent",постоянный адрес permanent address,,
приказ,"command, order",отдать приказ to issue an order,,
